"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2329012,"June 11, 2022",Alabama,Fairhope,"Twin Beech Rd",1,0,N/A
2328249,"June 11, 2022",Florida,"Pembroke Pines","SW 182nd Way",1,0,N/A
2326674,"June 10, 2022",Texas,Houston,"14335 Ella Blvd",2,0,N/A
2325901,"June 9, 2022",Ohio,"Cincinnati (Mount Washington)","1722 Beacon St",1,0,N/A
2325298,"June 8, 2022",Texas,Beaumont,"400 block of E Lucas Dr",1,0,N/A
2325947,"June 8, 2022",Ohio,Dayton,"700 block of Goodlow Ave",1,0,N/A
2324518,"June 7, 2022",Texas,Houston,"6000 block of Skyline Dr",1,1,N/A
2322582,"June 6, 2022",Ohio,Cleveland,"1100 block of E 77th St",1,0,N/A
2326067,"June 5, 2022","North Carolina",Salisbury,"100 block of Clancy St",1,0,N/A
2322940,"June 5, 2022","South Carolina","Mount Croghan","Airport Rd",1,0,N/A
2321188,"June 4, 2022",Michigan,Detroit,"20290 block of Goulburn Ave",1,0,N/A
2321704,"June 4, 2022",Louisiana,"Des Allemands","WPA Rd",1,0,N/A
2318628,"June 1, 2022",Alabama,Mobile,"100 block of Michael Donald Ave",1,0,N/A
2318085,"May 31, 2022",Ohio,Cleveland,"3700 block of E 151st St",1,0,N/A
2330073,"May 31, 2022",Texas,"Laredo (El Cenizo)","400 block of Holguin",1,0,N/A
2315205,"May 28, 2022",Michigan,"Grand Rapids","800 block of Alpine Ave NW",1,0,N/A
2322579,"May 26, 2022",Florida,Orlando,"Tobie Ct",1,0,N/A
2312692,"May 26, 2022",Indiana,Indianapolis,"3200 block of Laurel St",1,0,N/A
2313469,"May 26, 2022",Washington,Spanaway,"17410 Pacific Ave S",1,0,N/A
2313112,"May 25, 2022","West Virginia",Huntington,"1600 block of Charleston Ave",1,0,N/A
2312649,"May 25, 2022",Oklahoma,Enid,"600 block of W Cherokee Ave",1,0,N/A
2314313,"May 23, 2022",Georgia,Moultrie,"600 Block of Third St SW",1,0,N/A
2310152,"May 22, 2022",Arizona,Phoenix,"N 71st Ave and Thomas Rd",1,0,N/A
2308304,"May 21, 2022",Colorado,"Colorado Springs","3040 Mallard Dr",1,0,N/A
2308610,"May 21, 2022",Utah,"Salt Lake City (West Valley City)","3100 S 4800 W",1,0,N/A
2307608,"May 20, 2022","North Carolina","Roanoke Rapids","100 block of Delta Dr",1,0,N/A
2307218,"May 20, 2022",Arizona,Tempe,"Mill Ave and Apache Blvd",1,0,N/A
2305354,"May 18, 2022",Ohio,Bucyrus,"627 W Mansfield St",1,0,N/A
2305610,"May 18, 2022",Louisiana,"Baton Rouge","St. Gerard Ave",1,0,N/A
2309708,"May 17, 2022",Arizona,Phoenix,"E Moreland St and N 11th St",1,0,N/A
2305630,"May 17, 2022",Delaware,Georgetown,"22963 Deep Branch Rd",1,0,N/A
2303670,"May 16, 2022","New York",Bronx,"995 Westchester Ave",1,0,N/A
2304173,"May 16, 2022",Iowa,Ankeny,"NE 5th St and NE Delaware Ave",1,0,N/A
2303515,"May 15, 2022",Wisconsin,"Blue Mounds","10840 Blue Mountain Ave",1,0,N/A
2303474,"May 15, 2022",Colorado,"Commerce City","1800 block of Jasper St",1,0,N/A
